	Gene
1142	APH1A
1143	APH1B
1144	API5
1145	APIP
1146	APITD1
1147	APITD1-CORT
1148	APLF
1149	APLN
1150	APLNR
1151	APLP1
1152	APLP2
1153	APMAP
1154	APOA1
1155	APOA1BP
1156	APOA2
1157	APOA4
1158	APOA5
1159	APOB
1160	APOBEC1
1161	APOBEC2
1162	APOBEC3A
1163	APOBEC3B
1164	APOBEC3C
1165	APOBEC3D
1166	APOBEC3F
1167	APOBEC3G
1168	APOBEC3H
1169	APOBEC4
1170	APOBR
1171	APOC1
1172	APOC2
1173	APOC3
1174	APOC4
1175	APOC4-APOC2
1176	APOD
1177	APOE
1178	APOF
1179	APOH
1180	APOL1
1181	APOL2
1182	APOL3
1183	APOL4
1184	APOL5
1185	APOL6
1186	APOLD1
1187	APOM
1188	APOO
1189	APOOL
1190	APOPT1
1191	APP
1192	APPBP2
1193	APPL1
1194	APPL2
1195	APRT
1196	APTX
1197	AQP1
1198	AQP10
1199	AQP11
1200	AQP12A
1201	AQP12B
1202	AQP2
1203	AQP3
1204	AQP4
1205	AQP5
1206	AQP6
1207	AQP7
1208	AQP8
1209	AQP9
1210	AQR
1211	AR
1212	ARAF
1213	ARAP1
1214	ARAP2
1215	ARAP3
1216	ARC
1217	ARCN1
1218	AREG
1219	AREL1
1220	ARF1
1221	ARF3
1222	ARF4
1223	ARF5
1224	ARF6
1225	ARFGAP1
1226	ARFGAP2
1227	ARFGAP3
1228	ARFGEF1
1229	ARFGEF2
1230	ARFGEF3
1231	ARFIP1
1232	ARFIP2
1233	ARFRP1
1234	ARG1
1235	ARG2
1236	ARGFX
1237	ARGLU1
1238	ARHGAP1
1239	ARHGAP10
1240	ARHGAP11A
1241	ARHGAP11B
1242	ARHGAP12
1243	ARHGAP15
1244	ARHGAP17
1245	ARHGAP18
1246	ARHGAP19
1247	ARHGAP20
1248	ARHGAP21
1249	ARHGAP22
1250	ARHGAP23
1251	ARHGAP24
1252	ARHGAP25
1253	ARHGAP26
1254	ARHGAP27
1255	ARHGAP28
1256	ARHGAP29
1257	ARHGAP30
