	ENSEMBL_ID
828	ENST00000617114.4
829	ENST00000506174.5
830	ENST00000510069.5
831	ENST00000511957.5
832	ENST00000508222.5
833	ENST00000509619.1
834	ENST00000375499.7
835	ENST00000491274.5
836	ENST00000463045.2
837	ENST00000375486.8
838	ENST00000375481.1
839	ENST00000375471.4
840	ENST00000375460.3
841	ENST00000375453.5
842	ENST00000375448.4
843	ENST00000624583.1
844	ENST00000619609.1
845	ENST00000375436.8
846	ENST00000375433.3
847	ENST00000361221.7
848	ENST00000375415.5
849	ENST00000375408.7
850	ENST00000375406.1
851	ENST00000617065.1
852	ENST00000251296.3
853	ENST00000400664.2
854	ENST00000375375.7
855	ENST00000420770.6
856	ENST00000400661.3
857	ENST00000375371.3
858	ENST00000290597.9
859	ENST00000538839.5
860	ENST00000375341.7
861	ENST00000538309.5
862	ENST00000432718.1
863	ENST00000455833.6
864	ENST00000355609.8
865	ENST00000416166.1
866	ENST00000375254.7
867	ENST00000375225.7
868	ENST00000375224.1
869	ENST00000375218.3
870	ENST00000425413.5
871	ENST00000417040.1
872	ENST00000477853.5
873	ENST00000375199.7
874	ENST00000375208.7
875	ENST00000486405.1
876	ENST00000356068.2
877	ENST00000330263.4
878	ENST00000420396.3
879	ENST00000361640.4
880	ENST00000235835.7
881	ENST00000330072.9
882	ENST00000489286.5
883	ENST00000375155.7
884	ENST00000375153.7
885	ENST00000400548.6
886	ENST00000432465.1
887	ENST00000264203.7
888	ENST00000375144.5
889	ENST00000375142.5
890	ENST00000433834.5
891	ENST00000264202.7
892	ENST00000617872.4
893	ENST00000322753.6
894	ENST00000602662.1
895	ENST00000428975.5
896	ENST00000289749.6
897	ENST00000451758.5
898	ENST00000622566.4
899	ENST00000439664.5
900	ENST00000621723.4
901	ENST00000375136.7
902	ENST00000425400.5
903	ENST00000618761.4
904	ENST00000439278.5
905	ENST00000615215.4
906	ENST00000427894.5
907	ENST00000548815.2
908	ENST00000289753.1
909	ENST00000294543.10
910	ENST00000375127.5
911	ENST00000375121.3
912	ENST00000375120.3
913	ENST00000375116.3
914	ENST00000400520.7
915	ENST00000375111.7
916	ENST00000375108.3
917	ENST00000375105.7
918	ENST00000617227.1
919	ENST00000375102.3
920	ENST00000429261.2
921	ENST00000247992.5
922	ENST00000375099.3
923	ENST00000375079.6
924	ENST00000289815.12
925	ENST00000530722.5
926	ENST00000534075.1
927	ENST00000375078.3
928	ENST00000264198.4
929	ENST00000332947.5
930	ENST00000375071.3
931	ENST00000321556.4
932	ENST00000415136.6
933	ENST00000602624.6
934	ENST00000375048.7
935	ENST00000464364.1
936	ENST00000375044.5
937	ENST00000400463.7
938	ENST00000247986.2
939	ENST00000375031.5
940	ENST00000444387.6
941	ENST00000447746.6
942	ENST00000518294.5
943	ENST00000517430.5
944	ENST00000519434.1
945	ENST00000312239.9
946	ENST00000375003.6
947	ENST00000419948.5
948	ENST00000438032.5
949	ENST00000424732.5
950	ENST00000417710.5
951	ENST00000375000.5
952	ENST00000437575.5
953	ENST00000419490.5
954	ENST00000414993.1
955	ENST00000443615.1
956	ENST00000400422.5
957	ENST00000374935.7
958	ENST00000264211.12
959	ENST00000602326.5
960	ENST00000356916.7
961	ENST00000438975.5
962	ENST00000411888.5
963	ENST00000415912.6
964	ENST00000357071.8
965	ENST00000374893.10
966	ENST00000436918.6
967	ENST00000264205.10
968	ENST00000473505.5
969	ENST00000481130.6
970	ENST00000527991.2
971	ENST00000454000.6
972	ENST00000342104.9
973	ENST00000318249.9
974	ENST00000619554.1
975	ENST00000374840.7
976	ENST00000539907.5
977	ENST00000540617.5
978	ENST00000374832.5
979	ENST00000374830.2
980	ENST00000290101.8
981	ENST00000374763.6
982	ENST00000374761.6
983	ENST00000374765.8
984	ENST00000542643.6
985	ENST00000495204.5
986	ENST00000317967.11
987	ENST00000447293.5
988	ENST00000400301.5
989	ENST00000308271.13
990	ENST00000374732.7
991	ENST00000529637.5
992	ENST00000526044.5
993	ENST00000534705.5
994	ENST00000421625.6
995	ENST00000527823.5
996	ENST00000532737.1
997	ENST00000344642.6
998	ENST00000543870.1
999	ENST00000374695.7
1000	ENST00000426143.1
1001	ENST00000374676.4
1002	ENST00000453796.1
1003	ENST00000427897.1
1004	ENST00000412328.5
1005	ENST00000374673.3
1006	ENST00000439717.2
1007	ENST00000337107.10
1008	ENST00000374666.1
1009	ENST00000400277.2
1010	ENST00000290122.7
1011	ENST00000374663.1
1012	ENST00000400271.2
1013	ENST00000400259.5
1014	ENST00000344548.7
1015	ENST00000315554.12
1016	ENST00000411827.1
1017	ENST00000290167.10
1018	ENST00000415567.1
1019	ENST00000441048.1
1020	ENST00000404138.5
1021	ENST00000374651.8
1022	ENST00000400239.6
1023	ENST00000375647.4
1024	ENST00000374644.8
1025	ENST00000166244.7
1026	ENST00000538803.1
1027	ENST00000374642.7
1028	ENST00000438241.1
1029	ENST00000402322.1
1030	ENST00000374640.8
1031	ENST00000374639.7
1032	ENST00000374637.1
1033	ENST00000510260.5
1034	ENST00000509305.5
1035	ENST00000432749.6
1036	ENST00000314933.6
1037	ENST00000544305.5
1038	ENST00000374630.7
1039	ENST00000400191.7
1040	ENST00000374632.7
1041	ENST00000374627.1
1042	ENST00000426928.6
1043	ENST00000618559.1
1044	ENST00000440767.2
1045	ENST00000566855.3
1046	ENST00000622840.1
1047	ENST00000356634.7
1048	ENST00000400181.8
1049	ENST00000465864.1
1050	ENST00000494920.1
1051	ENST00000418342.5
1052	ENST00000302291.8
1053	ENST00000314174.5
1054	ENST00000471849.5
1055	ENST00000475164.2
1056	ENST00000374619.1
1057	ENST00000478691.5
1058	ENST00000374616.7
1059	ENST00000374612.5
1060	ENST00000302271.10
1061	ENST00000606561.5
1062	ENST00000427764.3
1063	ENST00000314011.8
1064	ENST00000374608.3
1065	ENST00000450454.6
1066	ENST00000476978.1
1067	ENST00000374601.7
1068	ENST00000461794.1
1069	ENST00000495646.5
1070	ENST00000336689.7
